WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;N_DOOR;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL
WALL;;;;;;;;;;;;;;;;;;;;;;WALL
WALL;;;;WALL;WALL;WALL;WALL;WALL;WALL;WALL;;WALL;WALL;WALL;WALL;WALL;WALL;WALL;;;;WALL
WALL;;;;WALL;WALL;WALL;WALL;WALL;WALL;WALL;;WALL;WALL;WALL;WALL;WALL;WALL;WALL;;;;WALL
WALL;;;;WALL;WALL;;;;;;;;;;;;WALL;WALL;;;;WALL
WALL;;;;WALL;WALL;;;;;;;;;;;;WALL;WALL;;;;WALL
W_DOOR;;;;;;;;;;;;;;;;;;;;;;E_DOOR
WALL;;;;WALL;WALL;;;;;;;;;;;;WALL;WALL;;;;WALL
WALL;;;;WALL;WALL;;;;;;;;;;;;WALL;WALL;;;;WALL
WALL;;;;WALL;WALL;WALL;WALL;WALL;WALL;WALL;;WALL;WALL;WALL;WALL;WALL;WALL;WALL;;;;WALL
WALL;;;;WALL;WALL;WALL;WALL;WALL;WALL;WALL;;WALL;WALL;WALL;WALL;WALL;WALL;WALL;;;;WALL
WALL;;;;;;;;;;;;;;;;;;;;;;WALL
WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;S_DOOR;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL
