WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;N_DOOR;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL
WALL;;;;SPAWN;;;;;;;;;;;;;;SPAWN;;;;WALL
WALL;;;WALL;;;;;;;;;;;;;;;;WALL;;;WALL
WALL;;;WALL;;;;;;;;;;;;;;;;WALL;;;WALL
WALL;;;WALL;;;;;;;DESTR;DESTR;DESTR;;;;;;;WALL;;;WALL
WALL;;;;;;;;;;PIT;PIT;PIT;;;;;;;;;;WALL
W_DOOR;;;;;;;;;SPAWN;PIT;PIT;PIT;SPAWN;;;;;;;;;E_DOOR
WALL;;;;;;;;;;PIT;PIT;PIT;;;;;;;;;;WALL
WALL;;;WALL;;;;;;;DESTR;DESTR;DESTR;;;;;;;WALL;;;WALL
WALL;;;WALL;;;;;;;;;;;;;;;;WALL;;;WALL
WALL;;;WALL;;;;;;;;;;;;;;;;WALL;;;WALL
WALL;;;;SPAWN;;;;;;;;;;;;;;SPAWN;;;;WALL
WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;S_DOOR;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL;WALL
