H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;N_DOOR;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL
H_WALL;;;;PIT;;;;;;;;;;;;;;PIT;;;;H_WALL
H_WALL;;;;PIT;;;;;;;;;;;;;;PIT;;;;H_WALL
H_WALL;;;;PIT;;;;;;;;;;;;;;PIT;;;;H_WALL
H_WALL;;;;PIT;;;;;;;;;;;;;;PIT;;;;H_WALL
H_WALL;;;;PIT;;;;;;;;;;;;;;PIT;;;;H_WALL
W_DOOR;;;;PIT;;;;;;;;;;;;;;PIT;;;;E_DOOR
H_WALL;;;;PIT;;;;;;;;;;;;;;PIT;;;;H_WALL
H_WALL;;;;PIT;;;;;;;;;;;;;;PIT;;;;H_WALL
H_WALL;;;;PIT;;;;;;;;;;;;;;PIT;;;;H_WALL
H_WALL;;;;PIT;;;;;;;;;;;;;;PIT;;;;H_WALL
H_WALL;;;;PIT;;;;;;;;;;;;;;PIT;;;;H_WALL
H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;S_DOOR;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL;H_WALL
